,Dataset,accuracy,Error rate
0,SmoothSubspace,0.72,0.28
1,SyntheticControl,0.9366666666666666,0.06333333333333335
2,BeetleFly,0.8,0.19999999999999996
3,BirdChicken,0.75,0.25
4,Coffee,1.0,0.0
5,UMD,0.9375,0.0625
6,Meat,0.9333333333333333,0.06666666666666665
7,ItalyPowerDemand,0.9659863945578231,0.03401360544217691
8,Chinatown,0.9766763848396501,0.023323615160349864
9,ECG200,0.82,0.18000000000000005
