,Dataset,accuracy,Error rate
0,SmoothSubspace,0.8466666666666667,0.15333333333333332
1,SyntheticControl,0.9766666666666667,0.023333333333333317
2,BeetleFly,0.85,0.15000000000000002
3,BirdChicken,0.6,0.4
4,Coffee,0.9285714285714286,0.0714285714285714
5,UMD,0.6805555555555556,0.3194444444444444
6,Meat,0.8833333333333333,0.1166666666666667
7,ItalyPowerDemand,0.956268221574344,0.04373177842565601
8,Chinatown,0.9416909620991254,0.058309037900874605
9,ECG200,0.86,0.14
