,Dataset,accuracy,Error rate
0,SmoothSubspace,0.4066666666666667,0.5933333333333333
1,SyntheticControl,0.25333333333333335,0.7466666666666666
2,BeetleFly,0.85,0.15000000000000002
3,BirdChicken,0.6,0.4
4,Coffee,0.9642857142857143,0.0357142857142857
5,UMD,0.5,0.5
6,Meat,0.3333333333333333,0.6666666666666667
7,ItalyPowerDemand,0.9154518950437318,0.08454810495626819
8,Chinatown,0.9708454810495627,0.029154518950437303
9,ECG200,0.76,0.24
