,Dataset,accuracy,Error rate
0,SmoothSubspace,0.44,0.56
1,SyntheticControl,0.17,0.83
2,BeetleFly,0.8,0.19999999999999996
3,BirdChicken,0.75,0.25
4,Coffee,0.9642857142857143,0.0357142857142857
5,UMD,0.6597222222222222,0.3402777777777778
6,Meat,0.3333333333333333,0.6666666666666667
7,ItalyPowerDemand,0.9650145772594753,0.03498542274052474
8,Chinatown,0.9766763848396501,0.023323615160349864
9,ECG200,0.82,0.18000000000000005
