,Dataset,accuracy,Error rate
0,SmoothSubspace,0.44,0.56
1,SyntheticControl,0.17,0.83
2,BeetleFly,0.5,0.5
3,BirdChicken,0.5,0.5
4,Coffee,0.5357142857142857,0.4642857142857143
5,UMD,0.3333333333333333,0.6666666666666667
6,Meat,0.3333333333333333,0.6666666666666667
7,ItalyPowerDemand,0.8532555879494655,0.14674441205053446
8,Chinatown,0.27405247813411077,0.7259475218658893
9,ECG200,0.7,0.30000000000000004
