,Dataset,accuracy,Error rate
0,SmoothSubspace,0.3333333333333333,0.6666666666666667
1,SyntheticControl,0.16666666666666666,0.8333333333333334
2,BeetleFly,0.45,0.55
3,BirdChicken,0.45,0.55
4,Coffee,0.4642857142857143,0.5357142857142857
5,UMD,0.3333333333333333,0.6666666666666667
6,Meat,0.3333333333333333,0.6666666666666667
7,ItalyPowerDemand,0.5014577259475219,0.4985422740524781
8,Chinatown,0.7259475218658892,0.2740524781341108
9,ECG200,0.64,0.36
