,Dataset,accuracy,Error rate
0,SmoothSubspace,0.4266666666666667,0.5733333333333333
1,SyntheticControl,0.18333333333333332,0.8166666666666667
2,BeetleFly,0.8,0.19999999999999996
3,BirdChicken,0.75,0.25
4,Coffee,0.9642857142857143,0.0357142857142857
5,UMD,0.625,0.375
6,Meat,0.3333333333333333,0.6666666666666667
7,ItalyPowerDemand,0.9640427599611273,0.035957240038872684
8,Chinatown,0.9708454810495627,0.029154518950437303
9,ECG200,0.8,0.19999999999999996
