,Dataset,accuracy,Error rate
0,SmoothSubspace,0.43333333333333335,0.5666666666666667
1,SyntheticControl,0.17,0.83
2,BeetleFly,0.8,0.19999999999999996
3,BirdChicken,0.75,0.25
4,Coffee,1.0,0.0
5,UMD,0.6180555555555556,0.3819444444444444
6,Meat,0.36666666666666664,0.6333333333333333
7,ItalyPowerDemand,0.9640427599611273,0.035957240038872684
8,Chinatown,0.9708454810495627,0.029154518950437303
9,ECG200,0.84,0.16000000000000003
