,Dataset,accuracy,Error rate
0,SmoothSubspace,0.8266666666666667,0.17333333333333334
1,SyntheticControl,0.9933333333333333,0.00666666666666671
2,BeetleFly,0.7,0.30000000000000004
3,BirdChicken,0.75,0.25
4,Coffee,1.0,0.0
5,UMD,0.9930555555555556,0.00694444444444442
6,Meat,0.9333333333333333,0.06666666666666665
7,ItalyPowerDemand,0.9504373177842566,0.04956268221574345
8,Chinatown,0.956268221574344,0.04373177842565601
9,ECG200,0.77,0.22999999999999998
